里程,Meters,Flags,Event,左高程(mm),右高程(mm)
100,37.50,0040,0000,-0.370,-0.200
100,37.25,0040,0000,-0.530,-0.190
100,37.00,0040,0000,-0.570,-0.130
100,36.75,0040,0000,-0.620,-0.160
100,36.50,0040,0000,-0.650,-0.210
100,36.25,0040,0000,-0.580,-0.240
100,36.00,0040,0000,-0.550,-0.190
100,35.75,0040,0000,-0.500,-0.090
100,35.50,0040,0000,-0.640,-0.020
100,35.25,0040,0000,-0.620,0.140
100,35.00,0040,0000,-0.630,-0.030
100,34.75,0040,0000,-0.550,0.000
100,34.50,0040,0000,-0.470,-0.010
100,34.25,0040,0000,-0.430,0.200
100,34.00,0040,0000,-0.400,0.240
100,33.75,0040,0000,-0.400,0.220
100,33.50,0040,0000,-0.340,0.290
100,33.25,0040,0000,-0.350,0.330
100,33.00,0040,0000,-0.360,0.360
100,32.75,0040,0000,-0.410,0.340
100,32.50,0040,0000,-0.350,0.300
100,32.25,0040,0000,-0.320,0.170
100,32.00,0040,0000,0.090,0.200
100,31.75,0040,0000,0.130,0.130
100,31.50,0040,0000,0.180,0.220
100,31.25,0040,0000,-0.080,0.230
100,31.00,0040,0000,-0.080,0.270
100,30.75,0040,0000,-0.040,0.360
100,30.50,0040,0000,-0.030,0.280
100,30.25,0040,0000,-0.040,0.270
100,30.00,0040,0000,-0.080,0.190
100,29.75,0040,0000,-0.110,0.130
100,29.50,0040,0000,-0.110,0.030
100,29.25,0040,0000,-0.060,-0.080
100,29.00,0040,0000,-0.040,-0.110
100,28.75,0040,0000,-0.050,-0.170
100,28.50,0040,0000,-0.130,-0.070
100,28.25,0040,0000,-0.100,0.000
100,28.00,0040,0000,-0.130,0.100
100,27.75,0040,0000,-0.120,-0.140
100,27.50,0040,0000,-0.190,-0.230
100,27.25,0040,0000,-0.120,-0.210
100,27.00,0040,0000,-0.030,-0.060
100,26.75,0040,0000,0.020,-0.080
100,26.50,0040,0000,0.000,-0.200
100,26.25,0040,0000,-0.010,-0.130
100,26.00,0040,0000,-0.040,-0.090
100,25.75,0040,0000,-0.140,-0.050
100,25.50,0040,0000,-0.060,0.000
100,25.25,0040,0000,-0.070,0.040
100,25.00,0040,0000,0.000,0.100
100,24.75,0040,0000,-0.020,-0.040
100,24.50,0040,0000,0.100,-0.090
100,24.25,0040,0000,0.280,-0.090
100,24.00,0040,0000,0.340,0.020
100,23.75,0040,0000,0.340,0.130
100,23.50,0040,0000,0.310,0.270
100,23.25,0040,0000,0.260,0.360
100,23.00,0040,0000,0.260,0.380
100,22.75,0040,0000,0.230,0.230
100,22.50,0040,0000,0.230,0.200
100,22.25,0040,0000,0.370,0.100
100,22.00,0040,0000,0.550,0.180
100,21.75,0040,0000,0.670,-0.090
100,21.50,0040,0000,0.480,-0.550
100,21.25,0040,0000,0.120,-1.330
100,21.00,0040,0000,-0.130,-1.610
100,20.75,0040,0000,-0.210,-1.270
100,20.50,0040,0000,-0.080,-0.560
100,20.25,0040,0000,-0.150,-0.080
100,20.00,0040,0000,-0.410,-0.170
100,19.75,0040,0000,-0.720,-0.340
100,19.50,0040,0000,-0.800,-0.340
